subject,negLL,alpha_rw_opt,alpha_ck_op,beta_opt,BIC,optimal_init_params,group
4151,2082.0888701848407,0.12999802872561872,0.12999802847300668,2.504959013678961,4189.31911037321,"(0.25, 0.25, 5.0)",Easy
4152,1722.0977775550143,0.01,0.040167198429890374,2.72521535817755,3468.677109852461,"(0.0, 0.0, 5.0)",Easy
4154,689.5921294862284,0.01759654694353863,0.04275554782969041,2.73767557962159,1401.4994095625896,"(0.0, 0.25, 0.1)",Easy
5091,2499.4591677768713,0.01,0.07340173120083832,2.634203771773121,5024.587577267451,"(0.0, 0.5, 0.1)",Easy
5354,1254.4623606441548,0.05203707526286101,0.1232210397837638,2.9609279431676527,2533.3193134201224,"(0.5, 0.0, 5.0)",Easy
6832,2480.0306302863173,0.01,0.01,3.162424393757262,4985.730502286343,"(0.0, 0.0, 5.0)",Easy
6833,582.0109003005456,0.05408150671226647,0.05407437469392229,3.1574877243925132,1186.1078322548703,"(0.75, 0.75, 5.0)",Easy
6951,1199.6639238435819,0.01,0.018358634881337613,3.4540900414794904,2423.1399717756535,"(1.0, 0.5, 3.7750000000000004)",Easy
8012,1276.5466176645432,0.017016400654638407,0.03680771344114072,2.670649409641768,2576.905359417576,"(0.0, 0.75, 0.1)",Easy
8332,3754.6360899817696,0.01,0.014694708615633618,2.882017648133224,7536.307848263296,"(0.0, 1.0, 0.1)",Easy
8451,1233.4441634605519,0.01761050287997083,0.01,3.6301023898540934,2490.7004510095935,"(0.0, 0.0, 3.7750000000000004)",Easy
849,1478.9596408935577,0.01,0.04417686308034208,3.0971318914144885,2982.8014307074213,"(0.0, 0.0, 5.0)",Easy
422,1346.527000961834,0.015059577163634454,0.030972169982710077,3.002836250669385,2717.4485940554805,"(0.25, 0.75, 1.3250000000000002)",Easy
441,931.6326548551813,0.014119496631620139,0.046525660647614986,3.330276845871852,1886.3539476284018,"(0.0, 0.0, 5.0)",Easy
532,2514.584868614551,0.01,0.044225865103900044,2.586550231152888,5054.471171976534,"(0.0, 0.75, 1.3250000000000002)",Easy
4151,2462.8211209417022,0.01,0.1431637025986622,2.4597786306445517,4951.3686281820255,"(0.0, 0.25, 1.3250000000000002)",Hard
4152,1745.3598696106897,0.01,0.0519660248829423,2.7981773918458264,3515.2012939638116,"(0.0, 1.0, 3.7750000000000004)",Hard
4154,853.5419804528836,0.012933839043801793,0.012933839043801793,3.778630255382482,1730.305954111519,"(0.0, 0.0, 3.7750000000000004)",Hard
5091,430.65177692526623,0.01,0.0735329421598034,2.5305020819519783,881.821983165219,"(0.0, 1.0, 2.5500000000000003)",Hard
5354,1395.7853416287753,0.03214505343809504,0.07064397646623112,2.901389466867533,2815.9652753893633,"(0.75, 0.0, 2.5500000000000003)",Hard
6832,1245.4788676421117,0.010046104908072681,0.01004610507187873,3.774824663275039,2514.769859372713,"(0.0, 0.0, 3.7750000000000004)",Hard
6833,2820.1309922564415,0.01,0.03638337618967842,2.8763356252715533,5666.258824102487,"(0.0, 0.5, 2.5500000000000003)",Hard
6951,2717.4239982916033,0.01,0.024289135350035344,3.106062485410461,5461.14015639125,"(0.0, 0.5, 0.1)",Hard
8012,744.9514190316032,0.02839290721454392,0.03201055482115789,4.131787743516294,1512.9914759812457,"(0.5, 0.0, 1.3250000000000002)",Hard
8332,3046.3949238171085,0.01,0.029239943744384773,3.1109964726348984,6119.35084391833,"(0.0, 0.75, 5.0)",Hard
8451,1787.0490310037817,0.01,0.05038049829495584,2.9750721823128408,3599.3994967549947,"(0.0, 0.25, 2.5500000000000003)",Hard
849,1917.5629994364422,0.01,0.0556097276783707,2.7068775083479246,3860.0081477931903,"(0.0, 0.75, 2.5500000000000003)",Hard
422,2514.23706208336,0.01,0.048674474436232545,3.003961050401932,5054.143365880428,"(1.0, 0.0, 0.1)",Hard
441,2748.252085511781,0.01,0.01,3.487797874453139,5522.395736653732,"(0.0, 0.0, 3.7750000000000004)",Hard
532,697.2305464082604,0.01,0.0527317033620279,2.8544260087907527,1416.5943695412043,"(1.0, 0.0, 3.7750000000000004)",Hard
