subject,negLL,param_opt,BIC,optimal_init_params,group
4151,2624.6938276917417,[0.04402031 2.37183925],5266.148568719169,"(0.1111111111111111, 2.277777777777778)",Easy
4152,2229.862337993398,[0.02456573 1.97357082],4476.04571248175,"(0.7777777777777777, 3.366666666666667)",Easy
4154,1097.8446736500766,[0.01410406 2.02351212],2210.566114360242,"(0.6666666666666666, 2.277777777777778)",Easy
5091,3254.6837936254533,[0.03477161 2.28701086],6526.480415060046,"(0.1111111111111111, 2.277777777777778)",Easy
5354,2029.2103751543405,[0.0233515  2.21323679],4074.6838117298894,"(0.6666666666666666, 3.366666666666667)",Easy
6832,3202.92478526558,[0.01      2.1083734],6422.962398340299,"(0.1111111111111111, 2.277777777777778)",Easy
6833,803.835880212177,[0.04089257 2.43530198],1622.3957815268734,"(0.1111111111111111, 1.188888888888889)",Easy
6951,1712.8861893298586,[0.01243614 2.10660223],3441.6471280520436,"(1.0, 3.911111111111112)",Easy
8012,1851.9246377547906,[0.01063012 1.93644856],3719.724024901908,"(0.0, 0.1)",Easy
8332,5294.198119538997,[0.01       2.02067324],10606.4200179445,"(0.2222222222222222, 3.911111111111112)",Easy
8451,1657.9832474935608,[0.01045917 2.2080008 ],3331.841244379448,"(0.1111111111111111, 4.455555555555556)",Easy
849,2477.895519955164,[0.01356316 2.19347804],4972.379139190532,"(0.1111111111111111, 1.7333333333333336)",Easy
422,2176.671101531128,[0.01090801 2.03602768],4369.605264483464,"(0.7777777777777777, 0.6444444444444445)",Easy
441,1301.9044415450553,[0.0216021  2.14857114],2619.2013083688034,"(0.1111111111111111, 3.911111111111112)",Easy
532,2905.3565385703214,[0.03308741 1.97402254],5827.580700305597,"(0.6666666666666666, 2.8222222222222224)",Easy
4151,3438.9375015998858,[0.06738631 1.74856011],6895.025927398852,"(0.4444444444444444, 1.188888888888889)",Hard
4152,2151.8280064892683,[0.03075717 2.47185782],4319.977049473491,"(1.0, 4.455555555555556)",Hard
4154,1405.2742523474503,[0.01808592 2.13812418],2826.029833498735,"(0.7777777777777777, 3.911111111111112)",Hard
5091,633.1595584041206,[0.03104623 1.63487899],1279.998069684699,"(0.2222222222222222, 3.366666666666667)",Hard
5354,2013.3007888371556,[0.02206061 2.18317888],4042.8646390955196,"(0.5555555555555556, 3.911111111111112)",Hard
6832,1602.65375021019,[0.01389662 2.24316554],3221.1822498127067,"(0.5555555555555556, 0.6444444444444445)",Hard
6833,3614.983658610575,[0.01559752 2.06429471],7247.298543614219,"(1.0, 0.6444444444444445)",Hard
6951,3961.2237090846143,[0.01       2.12949576],7939.975524707924,"(0.6666666666666666, 1.188888888888889)",Hard
8012,1038.0465606158523,[0.02337839 2.60923709],2091.4855465103974,"(0.0, 1.7333333333333336)",Hard
8332,3982.040124423215,[0.01934878 2.27020391],7981.787579702504,"(0.3333333333333333, 0.6444444444444445)",Hard
8451,3016.0012678993485,[0.01307592 1.96422873],6048.870158963651,"(1.0, 4.455555555555556)",Hard
849,2494.2446162020283,[0.02967445 2.1042309 ],5005.077331684261,"(0.8888888888888888, 5.0)",Hard
422,3031.6434590985145,[0.03346307 2.1742821 ],6080.399746006168,"(0.0, 0.1)",Hard
441,3191.8976892129876,[0.01238209 2.22501554],6401.056422179422,"(0.8888888888888888, 5.0)",Hard
532,1069.2053459939057,[0.02582547 1.71333073],2153.166209804267,"(0.5555555555555556, 0.1)",Hard
