subject,negLL,Fitted αʳʷ,Fitted αᶜᵏ,Fitted βʳʷ,Fitted βᶜᵏ,BIC,optimal_init_params,group
4151.0,2111.789664038236,0.6508262625533625,0.2300983411634241,0.1965454945994494,1.7775300165086307,4257.101154747843,"(0.67, 0.34, 0.01, 1.6733333333333333)",Easy
4152.0,1721.116819204024,0.01,0.0895688371226133,0.2805503981876468,2.258210421200583,3474.875711397958,"(0.34, 1.0, 1.6733333333333333, 0.01)",Easy
4154.0,672.3834366341084,0.01,0.0673701962173007,0.2377874674303868,2.378571079229026,1374.520407388394,"(0.01, 1.0, 1.6733333333333333, 0.01)",Easy
5091.0,2501.6997449769715,0.9450818398785952,0.073426615491818,0.1997239625694535,1.7429605455758124,5037.625145572221,"(1.0, 0.34, 0.01, 1.6733333333333333)",Easy
5354.0,1135.2122480494272,0.580845898830828,0.0868197405314951,0.0100000001045642,3.001554097259042,2302.9506189412714,"(0.67, 1.0, 0.01, 3.3366666666666664)",Easy
6832.0,2412.429910169369,0.4235488340469177,0.0247171452516455,0.0433474304880159,2.697551297687766,4859.085475957017,"(1.0, 1.0, 0.01, 0.01)",Easy
6833.0,578.4637769401819,0.01,0.118545517843087,0.25721505161402,3.041956678184038,1186.3755960854028,"(0.01, 0.67, 1.6733333333333333, 0.01)",Easy
6951.0,1179.6276093137244,0.9999991271516776,0.0404093776155912,0.1172916244772543,2.4244040703991505,2391.004717412102,"(1.0, 1.0, 1.6733333333333333, 0.01)",Easy
8012.0,1244.51909891972,0.0100008654222433,0.0390449378373706,0.3019461207794014,2.479851963261974,2520.787696624093,"(0.67, 1.0, 1.6733333333333333, 0.01)",Easy
8332.0,3616.0309606523806,0.993313756279277,0.0266711823974476,0.0205886600495225,2.949534836789088,7268.10947903777,"(1.0, 1.0, 0.01, 3.3366666666666664)",Easy
8451.0,1180.3636177691862,0.0255416612367009,0.0255232522891505,0.1392363327311014,2.662965008459416,2392.476734323025,"(0.34, 0.34, 3.3366666666666664, 0.01)",Easy
849.0,1439.326019548933,0.1712468887330244,0.06247645967824,0.1503821013634358,2.616510536905752,2911.8282376582733,"(0.01, 1.0, 1.6733333333333333, 0.01)",Easy
422.0,1265.9727621816087,0.1681535875998827,0.0590071797677478,0.01,2.941349255228684,2564.4716472056343,"(0.34, 0.67, 1.6733333333333333, 0.01)",Easy
441.0,852.974685502269,0.8172193621054367,0.0523359507551799,0.01,2.891318349152592,1736.7342215619235,"(0.67, 1.0, 3.3366666666666664, 0.01)",Easy
532.0,2475.8975535811173,1.0,0.0645128674798018,0.0722554342187851,2.222522380185825,4985.530353492143,"(0.67, 0.34, 0.01, 5.0)",Easy
4151.0,2457.852130129372,0.9801390886343452,0.1696131321140781,0.1822462866975537,2.158005221139644,4950.006108656905,"(1.0, 0.67, 3.3366666666666664, 0.01)",Hard
4152.0,1710.5156334140734,0.808847012322449,0.1062598104604995,0.01,2.29789885271194,3453.673339818057,"(0.67, 1.0, 3.3366666666666664, 3.3366666666666664)",Hard
4154.0,858.4564723655637,0.3675131674263487,0.0643036362568402,0.1475444938365418,2.652212434678495,1747.8756023387964,"(0.01, 0.34, 3.3366666666666664, 1.6733333333333333)",Hard
5091.0,431.6761664914098,0.3300349582784856,0.1428308245491987,0.4569424280136515,1.76349430661037,890.7102387357351,"(0.34, 0.67, 0.01, 1.6733333333333333)",Hard
5354.0,1241.1492707096088,0.0902605963187458,0.0563538084561893,0.1165864680579982,2.913999753409284,2514.8246642616346,"(0.01, 1.0, 0.01, 3.3366666666666664)",Hard
6832.0,1114.3389080019865,0.4142085080255012,0.0396128708059573,0.1305447133497989,2.766683144911961,2260.4273147886256,"(0.34, 0.67, 0.01, 5.0)",Hard
6833.0,2724.3071462709704,0.67,0.01,0.01,3.3366666666666664,5483.276745328079,"(0.67, 0.01, 0.01, 3.3366666666666664)",Hard
6951.0,2611.789923313937,0.0481165822140077,0.067173070692421,0.01,2.867933897751255,5258.636059705265,"(0.67, 1.0, 0.01, 3.3366666666666664)",Hard
8012.0,669.8216054097794,0.7251855169075595,0.0674788470946467,0.1127314719029528,3.115494752248185,1370.4280613769445,"(0.67, 0.01, 3.3366666666666664, 0.01)",Hard
8332.0,2859.9088473224856,0.01,0.065242370966836,0.0100001095874892,2.9045762706892315,5755.232356357121,"(0.01, 1.0, 0.01, 3.3366666666666664)",Hard
8451.0,1741.8345447423596,0.67,0.0719169102524084,0.01,3.128609170262951,3517.404335814628,"(0.67, 0.01, 0.01, 3.3366666666666664)",Hard
849.0,1916.2418044690785,0.203542286495813,0.0693598132750765,0.0441370539722754,2.4567527851467874,3865.659807498565,"(0.34, 0.67, 5.0, 0.01)",Hard
422.0,2403.780047051533,0.9175399007095584,0.0687274065940612,0.0988963325643374,2.64142004711083,4841.7857497213445,"(1.0, 0.34, 0.01, 0.01)",Hard
441.0,2659.120302444868,0.978360385585089,0.0315286109622105,0.1384381223371721,2.70656919273959,5352.762692396627,"(1.0, 0.67, 0.01, 5.0)",Hard
532.0,705.6058542302844,0.8038466429287825,0.1126244471375975,0.1317742877996545,2.268516379952724,1440.7227440934803,"(0.67, 1.0, 1.6733333333333333, 0.01)",Hard
