subject,negLL,Fitted αʳʷ,Fitted αᶜᵏ,Fitted β,BIC,optimal_init_params,group
422,1430.8932770288689,0.2422483625687996,0.1422045471366645,1.022692242664852,2886.1811461895504,"(0.3333333333333333, 0.3333333333333333, 0.1)",Easy
441,1074.440107146038,0.9999999999898296,0.5335163148488992,1.1085891209762408,2171.968852210115,"(1.0, 1.0, 0.1)",Easy
532,2679.63033423563,0.01,0.4538034476665079,0.6149394833751668,5384.562103218692,"(0.0, 0.6666666666666666, 0.1)",Easy
849,1574.7769414583577,0.4620172405661887,0.1910239683479501,1.1709094432895035,3174.4360318370213,"(0.6666666666666666, 0.3333333333333333, 0.1)",Easy
4151,2335.6365560375084,0.9999989576145278,0.459953548109783,1.2168164943409487,4696.414482078545,"(1.0, 0.6666666666666666, 0.1)",Easy
4152,1839.161207390099,0.2419346655326366,0.2544529852493633,0.8019707658961028,3702.8039695226303,"(0.3333333333333333, 0.3333333333333333, 0.1)",Easy
4154,774.5137296199179,0.5716096537293298,0.5716096537293298,0.9876205804621038,1571.3426098299683,"(1.0, 1.0, 1.7333333333333336)",Easy
5091,3135.8161162816127,0.01,0.3333333333333333,1.7333333333333336,6297.301474276934,"(0.0, 0.3333333333333333, 1.7333333333333336)",Easy
5354,1413.2031394795704,0.01,0.5946835849910829,1.0130362822825874,2850.800871090953,"(0.6666666666666666, 1.0, 0.1)",Easy
6832,2708.8145855226176,0.7789774454260316,0.1297290898465589,0.9117024729771,5443.298412758943,"(0.6666666666666666, 1.0, 0.1)",Easy
6833,618.7007008756309,0.0136558516866871,0.3430887994877756,1.3972118297689835,1259.487433405041,"(0.3333333333333333, 0.6666666666666666, 0.1)",Easy
6951,1245.5405766685865,0.0100027380919387,0.2540280604033736,1.4630787646467054,2514.8932774256623,"(0.6666666666666666, 1.0, 0.1)",Easy
8012,1358.0523319624488,0.237989291910446,0.2373253785404332,0.8809549479956578,2739.916788013388,"(0.3333333333333333, 0.3333333333333333, 0.1)",Easy
8332,3950.7584383003614,0.0466301133386436,0.2583739147559021,0.9339535786196692,7928.55254490048,"(0.3333333333333333, 0.0, 0.1)",Easy
8451,1422.2135113834115,0.998038268831366,0.125896962507421,0.8020303627407648,2868.2391468553133,"(1.0, 0.0, 0.1)",Easy
422,2790.439423715105,0.3089621935315987,0.2332473936777639,0.8661739316644825,5606.548089143917,"(0.6666666666666666, 1.0, 0.1)",Hard
441,3002.541534802629,0.6365272001343215,0.095354176558135,0.8494327836428583,6030.974635235428,"(0.3333333333333333, 1.0, 1.7333333333333336)",Hard
532,733.2557761009107,0.2177379383108308,0.1625187962602687,1.1019913860536923,1488.644828926505,"(0.3333333333333333, 0.3333333333333333, 0.1)",Hard
849,2122.4969649180225,0.5430248941166875,0.2563713228877792,0.8141584658227881,4269.876078756352,"(0.6666666666666666, 0.3333333333333333, 0.1)",Hard
4151,2570.9887095575245,0.01,0.4264195398735383,0.9546716266628557,5167.70380541367,"(0.0, 0.6666666666666666, 0.1)",Hard
4152,2040.7513854477515,0.01,0.01,0.705868304575787,4105.984325637935,"(0.0, 0.6666666666666666, 0.1)",Hard
4154,980.8864652119928,0.4656199160415908,0.2047180172838144,1.1555967094542627,1984.9949236297373,"(0.6666666666666666, 0.3333333333333333, 0.1)",Hard
5091,488.5809395867632,0.2630468980029766,0.498755763238134,0.8639438669549793,997.6803084882127,"(0.3333333333333333, 0.6666666666666666, 0.1)",Hard
5354,1504.8868078757237,0.7684118027709479,0.347537193059576,1.1540292695947036,3034.16820788326,"(0.6666666666666666, 0.3333333333333333, 1.7333333333333336)",Hard
6832,1386.4493791279674,0.01,0.5983654053081848,1.1592028185774097,2796.7108823444246,"(0.6666666666666666, 1.0, 0.1)",Hard
6833,3071.564791964318,0.342722833564521,0.040277733300056,0.6246413274317133,6169.12642351824,"(0.6666666666666666, 0.3333333333333333, 0.1)",Hard
6951,2979.174668019664,0.5034106903262158,0.2310927176348264,1.046880971743306,5984.641495847371,"(0.6666666666666666, 0.3333333333333333, 0.1)",Hard
8012,954.6638342855864,0.01,0.5061619973392223,1.2368792662951011,1932.416306489212,"(0.0, 0.0, 1.7333333333333336)",Hard
8332,3396.269747976521,0.2173709945156403,0.2151311568584189,1.0167011605285978,6819.100492237155,"(0.6666666666666666, 0.6666666666666666, 0.1)",Hard
8451,1828.4631229071567,0.153075738719001,0.2803233567007466,1.2677940522215878,3682.227680561745,"(0.3333333333333333, 0.6666666666666666, 0.1)",Hard
