subject,negLL,Fitted α,Fitted βʳʷ,Fitted βᶜᵏ,BIC,n,optimal_init_params,group
4151.0,2063.054478444737,0.1056790750927565,0.930898073076453,2.630982379840557,4151.250326893003,4361,"(0.6666666666666666, 1.7333333333333336, 5.0)",Easy
4152.0,1716.4116882194733,0.0417536197133916,1.5392562937189491,2.8052411926214686,3457.304931181379,3500,"(0.3333333333333333, 3.366666666666667, 0.1)",Easy
4154.0,666.4825268992993,0.0329252921711874,0.01,2.8967360230527164,1355.2802043887314,1700,"(0.0, 3.366666666666667, 5.0)",Easy
5091.0,2478.703454598274,0.0817105590349334,1.168451063546012,2.676777548676532,4983.076150910257,5200,"(1.0, 1.7333333333333336, 0.1)",Easy
5354.0,1128.2794931883986,0.086389492890233,0.0312630547220236,2.97408035723388,2280.95357850861,3400,"(0.3333333333333333, 0.1, 1.7333333333333336)",Easy
6832.0,2382.0114409583366,0.01,0.1023158805700116,3.0126257775887946,4789.6921236303815,5200,"(0.0, 1.7333333333333336, 0.1)",Easy
6833.0,567.6780367937237,0.1040045247976169,0.01,2.5910102821191203,1157.4421052412265,1575,"(0.6666666666666666, 0.1, 1.7333333333333336)",Easy
6951.0,1156.0990654431012,0.0178219319826499,0.3244283451272722,3.153012469291935,2336.010254974692,2800,"(0.0, 0.1, 3.366666666666667)",Easy
8012.0,1231.4628370762975,0.0153344044576068,0.0599925160201183,2.785111149929993,2486.737798241085,2800,"(0.0, 0.1, 5.0)",Easy
8332.0,3568.712104169626,0.01,0.01,3.016717395397128,7164.459876639009,8200,"(0.0, 5.0, 0.1)",Easy
8451.0,1156.0745446949134,0.0109758380437283,0.0993580018480173,3.3663474572036605,2335.9612134783165,2800,"(0.0, 0.1, 3.366666666666667)",Easy
849.0,1421.1479144835928,0.0506393660511689,0.01,3.0020618822127103,2867.177977887492,4000,"(1.0, 0.1, 0.1)",Easy
422.0,1243.8063048762865,0.0205434353884571,0.01,3.0834317681357075,2512.0072018843857,3400,"(0.0, 1.7333333333333336, 5.0)",Easy
441.0,849.5576023773965,0.0118782377058094,1.042183891122547,4.049973444854904,1722.2038426728325,2200,"(0.0, 0.1, 5.0)",Easy
532.0,2494.183935649384,0.0862885131875494,0.0930646827121225,1.98505974048417,5013.669306046199,4600,"(0.0, 0.1, 1.7333333333333336)",Easy
4151.0,2465.305298836238,0.14871950882253,0.9783615662640628,2.508110410955469,4956.336983971097,5300,"(0.0, 3.366666666666667, 0.1)",Hard
4152.0,1701.1762564172054,0.0695877437833496,0.0265862867952757,2.4555737336570447,3426.834067576843,3500,"(0.3333333333333333, 0.1, 1.7333333333333336)",Hard
4154.0,842.5380585833111,0.011461459546504,1.5732106840198046,3.499803740779736,1708.298110372374,2300,"(0.0, 0.1, 5.0)",Hard
5091.0,428.4151557874321,0.0919105040773788,0.0108301791512823,2.517735622906931,877.3487408895508,934,"(0.0, 3.366666666666667, 0.1)",Hard
5354.0,1232.6600904872694,0.0478395794007159,0.077686559632408,3.4478138840044714,2489.7147731063515,3400,"(1.0, 0.1, 1.7333333333333336)",Hard
6832.0,1120.8420138982951,0.0311725508514854,0.178256645227763,2.693327680794905,2265.49615188508,2800,"(0.0, 0.1, 1.7333333333333336)",Hard
6833.0,2659.1563649601585,0.0341201603403513,0.01,2.8682279762092326,5344.309569509921,5800,"(0.0, 0.1, 5.0)",Hard
6951.0,2576.3855764934106,0.0161893185550406,0.010000529386212,3.05039730889254,5179.063312794864,6400,"(0.6666666666666666, 5.0, 0.1)",Hard
8012.0,681.6230715475222,0.035344394820119,1.8169613027734568,3.408480651386729,1386.3347810130836,2200,"(0.0, 1.7333333333333336, 3.366666666666667)",Hard
8332.0,2841.1922544681925,0.0380713168716919,0.081022935590037,2.9523781841515926,5708.945505220498,7000,"(0.0, 3.366666666666667, 3.366666666666667)",Hard
8451.0,1725.6095516395112,0.0421526966717115,0.01,2.9658019076662208,3476.520538026454,4600,"(0.0, 5.0, 3.366666666666667)",Hard
849.0,1910.6695892703465,0.0732397028929404,0.01,2.4926360707865234,3846.221327461,4000,"(1.0, 5.0, 1.7333333333333336)",Hard
422.0,2401.807436077272,0.0620774222444166,0.0269262907921204,2.7371020173499456,4829.284113868252,5200,"(0.3333333333333333, 0.1, 1.7333333333333336)",Hard
441.0,2642.5713864876,0.0157930849713488,0.2396875068084437,2.838407666919075,5311.034338605368,5600,"(0.6666666666666666, 3.366666666666667, 3.366666666666667)",Hard
532.0,695.2959665747792,0.0633923012062794,0.2289203543331236,2.9238618624071444,1412.725209874242,1600,"(0.0, 3.366666666666667, 5.0)",Hard
