subject,negLL,Fitted b,BIC,group
4151,2924.396353621862,0.6058243522127953,5857.173163911567,Easy
4152,2291.5269489401435,0.3622857142857143,4591.214416127765,Easy
4154,1114.2172252887142,0.3635294117647059,2235.8728341074725,Easy
5091,3579.118298727479,0.5492307692307692,7166.793011359528,Easy
5354,2100.924459729082,0.3085294117647058,4209.980450168769,Easy
6832,3253.662700338787,0.3184615384615384,6515.881814582143,Easy
6833,883.7500909497984,0.2488888888888889,1774.8621924508566,Easy
6951,1742.1823905135036,0.3139285714285714,3492.3021557231705,Easy
8012,1855.4146127983183,0.3771428571428571,3718.7666002928,Easy
8332,5343.479480977604,0.3569512195121951,10695.97085138846,Easy
8451,1702.7253458918474,0.2967857142857143,3413.388066479858,Easy
849,2578.465472569258,0.3455,5165.224994778619,Easy
422,2198.832067922337,0.3488235294117647,4405.795666555278,Easy
441,1330.0663423780472,0.2927272727272727,2667.828897395441,Easy
532,3171.582860063615,0.4571739130434782,6351.599531709708,Easy
4151,3673.269102949548,0.4937735849056603,7355.113667998636,Hard
4152,2394.632076724468,0.5668571428571428,4797.4246716964135,Hard
4154,1463.5200541119875,0.3330434782608695,2934.780772625893,Hard
5091,646.9175850491786,0.5160599571734475,1300.674646536586,Hard
5354,2064.938839924512,0.2958823529411765,4138.009210559629,Hard
6832,1635.1103755446409,0.2707142857142857,3278.158125785445,Hard
6833,3652.97048501365,0.3239655172413793,7314.606583223835,Hard
6951,4045.159998818486,0.32703125,8099.08405090632,Hard
8012,1155.3885783881,0.2186363636363636,2318.4733694155466,Hard
8332,4186.9704793297815,0.2855714285714286,8382.7946240876,Hard
8451,3060.503183977392,0.3826086956521739,6129.440179537261,Hard
849,2767.48605210028,0.47475,5543.266153840661,Hard
422,3393.1449736590585,0.3584615384615385,6794.846361222686,Hard
441,3325.2498207905323,0.2808928571428571,6659.130163457788,Hard
532,1094.137944333814,0.431875,2195.653647575856,Hard
